title,author,price
 萱草 雪芹 计算机类教材书籍 图书馆正版,中国林业出版社,¥68.60
 3dmax教程书籍 2017从入门到精通 3ds Max 2017教程书籍基础知识 大学教材 计算机类书籍 室内设计 计,耿晓武,¥76.70
 【电子书】大型三维GIS平台技术及实践 软件开发 计算机类书籍,吴信才,¥19.50
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥79.00
 机器学习观止 核心原理与实践 语音识别自然语言处理算法书籍 人工智能计算机类书籍 凤凰清华大学 978730255744,林学森,¥137.51
 现货 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍,特伦斯谢诺夫斯基,¥98.80
 新书 Kubernetes权威指南:从Docker到Kubernetes实践全接触(第五版)全新升级K8s1.19程序设,龚正,¥157.93
 正版 数据结构：微课版 第3版第三版 李筠 出版社 计算机类数据结构高等职业教育教材 2021新书 计算机类书籍,李筠,¥66.31
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想,不详,¥56.00
 AutoCAD 2014建筑设计案例教程 书店 张宪立 计算机类书籍 书 畅想书,不详,¥43.00
 微信公众平台应用开发实战(第2版) 微信开发/平台开发/计算机类书籍,钟志勇,¥51.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍,不详,¥56.20
 系统分析与设计 原书第10版 第十版 肯尼斯·肯德尔 机械工业出版社 计算机类书籍,肯尼斯·肯德尔等,¥172.91
 正版 Python 3.5从零开始学 刘宇宙 书店 计算机类书籍 书 畅想畅销书,其他,¥65.00
 Adobe Premiere Pro CS6影视编辑设计与制作案例技能实训教程 李明刘悦赵毅飞 书店 计算机类书籍 畅想,其他,¥42.40
 【直发】Linux操作系统与服务配置 “十三五”高等职业教育规划教材 中国铁道出版社 严学军著 计算机类书籍,其他,¥64.00
 【凤凰旗舰店】网络安全与管理实验与实训（微课视频版）石磊 高等学校计算机类书籍 信息管理类专业书籍,清华大学出版社,¥59.00
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社任选下单,机械工业出版社,¥75.74
 正版 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础,电子工业出版社,¥46.50
 【直发】Linux操作系统与服务配置 &ldquo;十三五&rdquo;高等职业教育规划教材 中国铁道出版社 严学军著,不详,¥62.00
 Java EE轻量级框架应用开发教程 李唯 书店 计算机类书籍,其他,¥32.00
 全新正版正版 Android模块化开发项目式教程（Android Studio） 郑丹青 书店 计算机类书籍 畅想畅销书,其他,¥58.00
 正版 AutoCAD 2014建筑设计案例教程 张宪立 书店 计算机类书籍,不详,¥43.41
 全新正版Android移动应用开发任务驱动教程-(Android Studio+Genymotion) 书店 陈承欢 计,其他,¥48.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍,其他,¥61.00
 正版 计算机应用基础 叶克江 西安电子科技大学出版社(高职高专公共基础课十三五规划教材) 书计算机类书籍,叶克江，杨兴波，李海燕,¥56.25
 JavaScript程序设计基础与范例教程 书店 曹维明 计算机类书籍 书 畅想畅销书,其他,¥38.70
 正版 JSP程序设计教程-(项目式) 李桂玲 书店 计算机类书籍,不详,¥45.88
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥71.28
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥56.00
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,马塔伊·米赫尔等,¥75.74
 正版 Office 2010案例教程 杨彩云编著 电子工业出版社 中职书籍 计算机类书籍【正版保证】,杨彩云,¥27.74
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想,不详,¥54.00
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础 电子工业正版,电子工业出版社,¥46.50
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥34.46
 正版 Office 2010案例教程 杨彩云编著 电子工业出版社 中职教材书籍 计算机类书籍h,杨彩云,¥26.99
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业正版,马塔伊·米赫尔等,¥54.50
 人工智能书籍四本：深度学习（deep learning）+深度学习系统+深度学习与目标检测+神经网络与深度学习 计算机类,机械工业出版社,¥480.00
 正邮 大学计算机基础 微课版高等学校计算机基础教育 吴宛萍 书店 计算机类书籍 清华大学出版社 978730250511,吴宛萍、魏媛媛、许小静、黄华文、洪樱、胡,¥57.00
 数据库技术与应用教程+应用实践教程-Access 2013 第二版 李雨孙末 数据库表查询语言SQLVBA编程重难点详讲,易丹辉,¥68.60
 JavaScript程序设计基础与范例教程 书店 曹维明 计算机类书籍 书 畅想畅销书,其他,¥47.00
 【2022新版】Java语言面向对象程序设计 第3版 第三版 微课视频版 马俊 曾述宾 高等学校计算机类书籍 清华大学,清华大学出版社,¥66.90
 系统分析与设计 原书第10版 第十版 肯尼斯·肯德尔 机械工业出版社 计算机类书籍【正版保证】,肯尼斯·肯德尔等,¥175.46
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,其他,¥63.00
 正版 Office 2010案例教程 杨彩云编著 电子工业正版 中职书籍 计算机类书籍h,杨彩云,¥27.00
 Windows Server 2012网络管理项目实训教程 褚建立 书店 计算机类书籍 书 畅想畅销书,其他,¥36.40
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥94.30
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥47.00
 Django 3 Web应用开发实战 黄永祥 清华大学 软件工具程序设计计算机类书籍 书籍凤凰 978730258031,黄永祥,¥119.19
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥54.00
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版【映玥星图书】,特伦斯谢诺夫斯基,¥96.85
 正版 机器人系统(原书第2版) 扩展新主题协作机器人、移动机器人和类人机器人人工智能计算机类书籍 机械工业出版社,机械工业出版社,¥74.25
 2022新版Java语言面向对象程序设计 3版 三版 微课视频版 马俊 曾述宾 高等学校计算机类书籍 清华大学 9787,清华大学出版社,¥72.00
 全新正版正版 ERP财务管理实践教程——用友ERP-U8 V10.1版（微课版） 黄杰敏 书店 计算机类书籍 畅想畅销书,其他,¥48.00
 AutoCAD 2016辅助设计与制作案例技能实训教程 刘鹏吉晓苹 书店 计算机类书籍 畅想畅销书,其他,¥45.40
 正版 AutoCAD 2016辅助设计与制作案例技能实训教程 刘鹏吉晓苹 书店 计算机类书籍 畅想畅销书,其他,¥53.00
 正版新书 Kubernetes权威指南:从Docker到Kubernetes实践全接触(第五版)全新升级K8s1.19程,龚正,¥164.00
 全新正版正版 Java EE轻量级框架应用开发教程 李唯程永恒 书店 计算机类书籍 书 畅想畅销书【博睿好书】任选,其他,¥48.00
 C语言程序设计 林生佑 C语言基础语法 程序设计 计算机类书籍 C语言基本语法编程基础,电子工业出版社,¥46.50
 正版 Android模块化开发项目式教程（Android Studio） 郑丹青 书店 计算机类书籍 畅想畅销书,其他,¥50.00
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥95.13
 正版 中文版Flash CC动画制作实用教程 梁栋 书店 计算机类书籍 畅想畅销书,其他,¥44.00
 ERP财务管理实践教程——用友ERP-U8 V10.1版（微课版） 黄杰敏 书店 计算机类书籍 畅想畅销书,其他,¥39.40
 现货 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍,特伦斯谢诺夫斯基,¥98.80
 系统分析与设计 原书第10版 第十版 肯尼斯·肯德尔 机械工业出版社 计算机类书籍,肯尼斯·肯德尔等,¥173.00
 3770372| 深入理解大数据：大数据处理与编程实践 计算机类书籍,机械工业出版社,¥69.99
 正版 Android模块化开发项目式教程（Android Studio） 郑丹青 书店 计算机类书籍 畅想畅销书,其他,¥52.00
 施耐德EcoStruxure Machine控制器应用及编程进阶?李幼涵编著 计算机类书籍RFTD 9787111635,机械工业出版社,¥65.00
 AutoCAD 2014建筑设计案例教程 张宪立 计算机类书籍,不详,¥39.81
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想书,不详,¥61.81
 Android模块化开发项目式教程（Android Studio） 郑丹青 书店 计算机类书籍 畅想畅销书,其他,¥43.00
 【直发】Linux操作系统与服务配置 “十三五”高等职业教育规划教材 中国铁道出版社 严学军著 计算机类书籍,其他,¥63.00
 数据库技术与应用教程+应用实践教程-Acce 2013 第二版 李雨孙末 数据库表查询语言SQLVA编程重难点详讲书 计,易丹辉,¥69.90
 正版 数据结构：微课版 第3版第三版 李筠 出版社 计算机类数据结构高等职业教育教材 2021新书 计算机类书籍,清华大学出版社,¥66.31
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥95.63
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍任选下单备,其他,¥22.50
 正版 Android模块化开发项目式教程（Android Studio） 郑丹青 书店 计算机类书籍 畅想畅销书博闻推荐,其他,¥50.00
" E在数据挖掘中的应用 谢邦昌,朱建平,王小燕 经济理论、法规 经管、励志 厦门学出版社 计算机类书籍 数据丛书",厦门大学出版社,¥71.00
 正版 数据结构：微课版 第3版第三版 李筠 清华大学出版社 计算机类数据结构高等职业教育教材 2021新书 计算机类书籍,清华大学出版社,¥67.00
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥94.62
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥95.62
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥56.00
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版【,特伦斯谢诺夫斯基,¥94.30
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 书籍 9787508,特伦斯谢诺夫斯基,¥99.75
 正版 新华 动态网站建设案例教程(ASP NET) 周胜安 书店 计算机类书籍 书 畅想书,不详,¥41.00
 数据库技术与应用教程+应用实践教程-Access 2013 第二版 李雨孙末 数据库表查询语言SQLVBA编程重难点详讲,易丹辉,¥69.90
 正版 AVR单片机与小型机器人制作-第2版 彭建盛 书店 计算机类书籍 畅想畅销书任选备注,其他,¥45.00
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍任选备注,其他,¥60.00
 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍 畅想畅销书,其他,¥32.70
 深度学习 智能时代的核心驱动力量 特伦斯·谢诺夫斯基著 你了解人工智能井喷式发展真相 计算机类书籍 正版,特伦斯谢诺夫斯基,¥94.63
 正版 Java Web程序设计任务教程 黑马程序员 书店 计算机类书籍 书 畅想畅销书,不详,¥54.00
 正版 新编计算机文化基础教程(Windows 7+Office 2010版)-第4版 靳敏 书店 计算机类书籍,不详,¥36.46
 计算机导论 微课视频版 刘进锋编 计算机科学与技术丛书 从底层硬件到高层应用 计算机知识领域内容 增添前沿内容 计算机类,刘进锋,¥59.00
